marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
us,46802617,r1q1ykknihq7eb,b001cwfbli,723849,carters easy fit velour crib fitted sheet,baby,5,0,0,n,y,sooooo soft,i love this! it's so soft! i wish i had one of these sheets for my bed. my little man likes to rub his face on it while he falls asleep.,2/11/2014
us,13724549,r23sxx0kvsjc,b001cwb3kg,723849,carters easy fit velour crib fitted sheet,baby,1,2,9,n,y,elastic gives out...,"the color is great, the material is super soft & washes well. . however, the elastic gives out making the sheet useless! i would not recommend that anyone buy this. loose bedding in a crib is very dangerous, carters needs to change the elastic used in making these sheets.",3/13/2012
us,38835569,r1afptbfbwugtu,b009s429w6,1006724,adjustable reusable washable one size baby infant cloth diaper nappy animal blue w/ 2 inserts,baby,5,0,0,n,y,they were a great quality and worked out really nicely,i bought this and several others of this brand to make a cloth diaper cake for my sister-in-law. they were a great quality and worked out really nicely!,3/4/2015
us,13086262,r3g1w80td0rhpe,b00r9yeyfw,1398002,north states 3 in 1 arched decor metal superyard,baby,5,0,4,n,y,five stars,great product,5/25/2015
us,13698350,r1yf3n5hu9kyia,b0031arqlc,1439995,orbelle 3-6t toddler bed,baby,4,0,0,n,y,orbelle expresso toddler bed,"bed came on time.  fair price. wood a bit cheap. pain to put together alone, the pieces i in the middle kept falling out of place until the entire bed was assembled and screws tightened. pretty sturdy. supports my son's weight just fine, he's about 35 lbs. i would recommend to a friend looking for a reasonably priced toddler bed.",5/25/2015
us,11712865,rjj7qun908nta,b0031arqlc,1439995,orbelle 3-6t toddler bed,baby,5,0,0,n,y,great,great quality!,12/2/2014
us,19730351,rpu6nk46h2dht,b0031alswk,1439995,orbelle 3-6t toddler bed,baby,5,0,0,n,y,"perfect, handing down to the next child.","i bought this bed for my daughter when she was 18mo, she is now 3 and still using it. she loves to jump on the bed (despite me telling her not to) and this has stood up to it like a champ. i put it together by myself while i was pregnant with twins, no problems at all. now that the twins are getting big i ordered another one and the oldest will hand hers down so she can get a big girl bed and the twins will have matching toddler beds. honestly, the 3 year old could probably use this toddler bed for at least another year or two if she were not handing it down to one if the twins.",12/5/2014
us,1072297,r18y6p81p9m15e,b0031arqlc,1439995,orbelle 3-6t toddler bed,baby,5,0,0,n,y,five stars,nice for the price.,12/2/2014
us,17252119,r3hh6cgfqcdh8n,b0031arqlc,1439995,orbelle 3-6t toddler bed,baby,1,0,0,n,y,don't buy,the bed came with several missing screws that i had to go buy somewhere else to even make it safe for my child,9/8/2014
us,15443632,rotcwr44tskfr,b0031ao1ow,1439995,orbelle 3-6t toddler bed,baby,4,4,4,n,y,big bed in a small box,the entire bed came in one small box which was surprising. all of the pieces were there and the directions were easy to follow.  the most difficult part was trying to keep the slats in place while i secured the other side of the bed. other than that the bed is wonderful and my 2 year old daughter loves it.,3/13/2015
us,37683608,r18wj13d52vl6r,b00qy917ki,1448183,"baby washcloths | soft organic dual sided bamboo mini towels | specialist recommended | gentle, versatile, perfect for yours & babies delicate skin | great registry gift | 5 pack 10 x 10 bubbawarez",baby,5,0,0,n,y,super soft and shipped lightning fast!,"the washcloths arrived very quickly, i was so surprised!  they are of great quality (not super thin so shouldn't wear out anytime soon).  the best part is that they are so wonderfully soft.  my son loves them!  they are a great addition.",6/24/2015
us,45346225,r3g5fh6ynwg4ey,b00qy917ki,1448183,"baby washcloths | soft organic dual sided bamboo mini towels | specialist recommended | gentle, versatile, perfect for yours & babies delicate skin | great registry gift | 5 pack 10 x 10 bubbawarez",baby,5,1,1,n,n,i was very happy to see that they are organic and the bamboo ...,"these are very soft. i was very happy to see that they are organic and the bamboo is from a sustainable forest. it said exfoliation so i was nervous about them being scratchy but they weren't at all. i was very pleased to use these on my baby, on my big kids and even on my self for washing my face. they have cute designs on them that could be given for a boy or a girl if you were looking for a shower gift or if you didn't know the sex. very nice.<br />i did receive these for free or a reduced price in exchange for my honest review as seen above.",3/31/2015
us,9675479,r16k61wq410qjx,b00133wbx2,1696639,savannah door chest,baby,5,0,0,n,y,five stars,love it's,12/6/2014
us,39162140,r1wpm8c6nuyis0,b004or1dw4,1892472,boon flair seat pad,baby,5,0,0,n,y,love this product!,love this purchase! very happy!! have been looking for the perfect item and found it! very pleased with this! thanks!!,8/5/2013
us,12758912,r1kz4tcrlc8zds,b00hqw9mcc,2143250,kolcraft cloud plus lightweight stroller,baby,5,0,0,n,y,very light and comfortable for him,"i looooooooooove this stroller!!!! my son was so excited. very light and comfortable for him. perfect to go to the park, mall store even for travel. its the perfect size.",2/21/2015
us,47947953,rjzg9b09c68r7,b00hqw9mcc,2143250,kolcraft cloud plus lightweight stroller,baby,5,0,0,n,y,i love that it only weights 10-11 pounds,"i love that it only weights 10-11 pounds. it's much easier to get into my car. the only downside is that if the baby isn't in the stroller, sometimes it will to over ( if you've put things in the handle). empty, it can handle the disorder bag, but not the disorder bag and my purse.",8/15/2015
us,11286438,r2v2jys3583gn7,b00tqqbims,2332208,"blueberry simplex all in one diaper (one size, pink snails)",baby,5,0,0,n,y,five stars,i love blueberry simplex diapers! this one is so adorable!,5/6/2015
us,20910006,rln21j0vo8mai,b0030hwjoa,2341622,bumbo floor seat and play tray set,baby,5,0,0,n,y,very pleased,very pleased momma & grandbaby both seem to appreciate the positives and anticipate long use and the portable speculation and comfort,2/23/2014
us,40210365,rbly87arxu9wv,b001e8r46u,2775015,"dr. brown's bpa free polypropylene natural flow standard neck bottle, 4 oz. - 3-pack",baby,5,0,0,n,n,great bottles for breast feeding baby,"the good things of these bottle are: first, the flow of size 1 nipple is really slow, my babies can not tell the flow difference between the bottle and mommy's nipple. my two babies don't have any problem on transition from breast feeding to bottle feeding. second, it does reduce gas, my baby girl is a easy-spit-up girl but this bottle helps. the only concern is the bottle need more time to clean the extra part and you need two kinds of brushes to clean the bottle.",11/12/2011
us,31462819,r16jub9agi8t4u,b002bf5l2y,3090006,lambs & ivy raspberry swirl sheet (discontinued by manufacturer),baby,2,0,0,n,y,ripped sheet,sheet ripped the first time it was used. not even at the seam.,8/25/2014
us,23524506,r3ph6imeybk3fe,b000fgg8tg,3146962,the first years take and toss 28-piece feeding variety pack,baby,5,0,0,n,y,great,these are great to have in the car.,10/7/2014
us,21091647,rm629f0x6z5zh,b005zncgy0,3179934,"kf baby cabinet & appliance locking strap, 4pc",baby,1,0,0,n,y,does not work,it just doesn't stay on when a baby pulls a door. does't stick well. waist of money. had to through it way,6/11/2013
us,2050756,r18qg2wg1vfw1y,b00evwx8iy,3729223,teddy needs a bath dryer sheet - 2-pack bundle - cotton candy-scented,baby,1,1,1,n,y,dryer sheets smell great in the box,"dryer sheets smell great in the box, but leave no smell at all on clothes. very disappointed and wish i didn't waste the money on 2 boxes. your regular brand name dryer sheets work better that's these expensive ones. don't waste your money.",3/17/2015
us,19533708,r3t7jn2fcdb7sg,b001bxbc0w,3916839,"boba vest, grey, medium (discontinued by manufacturer)",baby,5,2,2,n,n,secure but comfortable,"the sleepy wrap is far more breathable and comfortable than most other baby carriers. the generous amount of stretchy fabric that envelops the baby gives boths the wearer and the baby more of a feeling of security. the sleepy wrap shapes to the baby's position, rather than the other way around. it's just a stylish, east to wear, comfy baby carrier !",8/10/2008
us,4692557,r1c0m6gcpbds6h,b008qfrttg,4145037,2-piece minnie's 1st birthday high chair decoration kit,baby,5,0,0,n,y,looks really nice. can't wait to use it for my babies ...,looks really nice . can't wait to use it for my babies smash cake,4/14/2015
us,34780524,r2w920e7e1gipd,b0016oateg,4569674,"baby aspen gift set with keepsake basket five little monkeys, brown",baby,5,0,0,n,y,baby aspen five little monkeys gift set with keepsake basket,these are a wonderful baby gift that just look so cute on the baby.  everyone loved them at the shower.,3/27/2014
us,10009756,r2furxv0jro9k3,b00qsdhxps,4649401,"safest baby bath spout faucet cover, guard toy *bonus ebook* money back guarantee",baby,5,0,0,n,n,loved it so much i bought another one!,i bought one as a 'baby shower gift' and ended up buying one for my daughter because they were so cute!!!. the rubber is a bit harder than i expected but if anyone remembers hitting their heads or backs on the metal faucet when they were little and how much that hurt - this will fix that problem.<br />it pours water beautifully out of harry the hippo's mouth. bathtime is now her favourite time of the day!,2/18/2015
us,19953057,r157kikxjbdg5v,b00qsdhxps,4649401,"safest baby bath spout faucet cover, guard toy *bonus ebook* money back guarantee",baby,5,0,0,n,n,bath time has never been better,love this hippo! water flows out perfectly from harry's mouth. he keeps a soft cushion on the faucet in case a head gets too close during bath time.,5/6/2015
US,35708773,R17S9A1J97CC1D,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,It works perfectly,"A very cute and meaningful pacifier. Makes baby content, makes adults giggle.",11/9/2014
US,13691407,R37R0PA0EORPOX,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,cute and useful!,"Buying a pacifier is always hit or miss. Kids are fussy. Thankfully my niece loved this one and it was adorable! Unfortunately the dog got a hold of it, so I had to buy another, but it was worth it! The product came with a cover and didn't break, so I'd recommend it!",10/8/2012
US,1191704,R1CV71WTDSD1T1,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Five Stars,Cute,11/15/2014
US,4742344,R2TXES502V365U,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,N,Five Stars,Cute,11/5/2014
US,47508940,R3SURJXMF5P1W6,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Five Stars,cute baby gift,3/10/2015
US,39509899,RM9UPYEVBJ9ST,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Five Stars,Cute!,6/30/2015
US,26723878,RLCL9S2MCVPF3,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Five Stars,Great,7/23/2014
US,20586943,RBA9JMH0EWWMJ,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Mute Button Fun!,I bought this for my granddaughter and she loves it!  But the best part? It is so much fun!  People love to respond when they see it!  Very happy with this purchase!,3/29/2012
US,23767841,R28F6X0KANJPGE,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Great Idea!,"I purchased this binkie as a joke for my hubby.. He constantly is looking for my daughters pacifiers and refers to them as her mute button, so when i saw this paci.. I HAD TO GET IT.. Right now it hangs on a ribbon on our rear view mirror..",3/14/2012
US,25537689,R1KW2FP0WRGP41,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,very cute,I was able to make a corsage for the baby shower out of it and it was so cute and different.,4/26/2013
US,34467658,RTHV0OO793RVX,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Funny and of quality,I was afraid the quality would be poor but it's a perfectly standard pacifier. I recommend it for fun and good spirits around you!,1/5/2011
US,28133352,R2II8H0HX79AYO,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Fun and sweet!,"Purchased for an added gift for the male boss as his wife is having baby!  Perfect gift that is cute, useful and funny!",7/2/2015
US,32324652,RCOJHRWY409IF,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,1,2,N,Y,I love this gift!!!,"This is a cute little gift that can be used as a gift or a accessory to  wrapping a gift.  Adorable.  The service was extremely fast, as well.  I received  these pacifiers much more quickly than I expected.  Thanks for the great service  and unique product.",6/30/2010
US,46929889,R2JKU50RDCT0DY,B001RO4I6A,4792175,personalized pacifiers mute button pacifier in pink,Baby,5,0,0,N,Y,Very Nice,"This is very cute, and it comes with a cover for the nipple part. I am taking it to a baby shower, and will probably get lots of comments on it. I'm very excited!",9/8/2012
us,12551205,r1bijfinuswhgn,b001ve00uo,5180901,chicco key fit 30 travel system - bella,baby,4,0,0,n,y,pretty in pink,"loved the high quality and durability. only reason did not get a five is the pink sort of gets dirty easily (as if not easy with a new born), and very difficult to clean. overall, a great product, just the light pink color shows stains easily.",9/3/2014
us,36175452,rqycbq4wboml3,b00fyoenmi,5471085,alva baby cloth diaper one size adjustable reuseable washable baby nappy diapers one pack with 2 inserts,baby,5,0,0,n,y,adorable,"i was not familiar with alva and had always bought &#34;name-brand&#34; diapers, but i was pleased with this diaper! i will order more!",4/24/2014
us,25609887,r1gnl1wrr65qq5,b00fyoenmi,5471085,alva baby cloth diaper one size adjustable reuseable washable baby nappy diapers one pack with 2 inserts,baby,5,0,0,n,y,alva baby,"this cloth diaper is very soft to the touch ,comfortable and cost efficient. i recommend this pocket diaper to anyone wanting to add another cute design to their cloth diaper stash",8/1/2015
us,36205325,r1otwswpvlt0h2,b001bzy0ww,5645959,"lambs and ivy luv bugs hamper, plum",baby,4,0,0,n,y,cute but lightweight,"as far as the aesthetics of this hamper, i like it. the fabric is not the same on the top cover and the front. the top cover is corduroy and the front is a velour/velveteen so the colors do not match exactly, but i like it. because the tones are different and monochromatic, it makes it much easier for me to put the room together without having to purchase a matching set and be stuck with only that set. i can now mix and match the room more easily for an eclectic design.<br /><br />the frame is really lightweight and my daughter knocks over the hamper easily when she tries to use it to stand up. the interior has a handy removable mesh bag with handles to bring the laundry to the laundry room. the mesh bag is rather flimsy, but it does the job. it was a happy bonus to the purchase.",10/25/2013
us,23179446,r2l5qe1ylgdjrn,b001c9rhyu,5747909,elegant baby bath set,baby,5,6,6,n,y,perfect!,"i was looking everywhere for a water frog bath toy and this was perfect!  the frogs are made very durably, bright and cheery looking.  very adorable, very perfect.  little rings are perfect size for baby frogs to sit on in the water!  looks like a great pool/bath toy for the babies.",12/10/2009
us,32657200,r1mz4m3xtqdfmp,b006c4jepk,5749221,hasbro my little pony 4 piece toddler bedding set (discontinued by manufacturer),baby,5,0,0,n,y,she is in heaven!,"on the recent holiday we had friends over, she took &#34;everyone&#34; upstairs to see her room (it brought me great joy). the only thing i would prefer is if the sheets were a soft cotton. for the warmer months i'll have to find matching sheets.",7/22/2013
us,48755050,r286d7kjwk6qua,b003xmwf8w,5848633,"munchkin arm and hammer diaper disposal bags, blue, 50 pack (discontinued by manufacturer)",baby,4,0,0,n,y,"great for on the go, only.","i bought these bags while waiting on my subscription for my genie refills to arrive. they are great little bags for on the go and they smell great. i actually used it 90% at home. i would put the used diaper in the bag, double tied it and throw it in my diaper genie. once i went to empty the genie, it was the worst smell. i do not recommend it for using it as a replacement for diaper genie bags. but out on the go it is perfect, and taking a trip over familys house or something like that. it is perfect for that",11/12/2011
us,45972267,r11ts1iz5v1xax,b00ql7ob38,5981131,danha baby bandana teething bib for infants and toddlers (set of 5). unisex modern bib for boys and girls.very absorbent cotton (unisex 1),baby,5,5,5,n,n,great bibs!  adorable for boys or girls!,"love these bibs!  the colors and patterns are great, and i love that there are two snaps, so they will continue to fit as my boy grows.  the backing is super soft, too!  i also like the longer, narrower look as opposed to the short, wide ones. just more fashionable i think. great for babies of all ages!!",12/23/2014
us,52313873,r1d71hzx99ng1,b005cncbuc,6156155,"maxi-cosi leila high chair, reef",baby,3,0,0,n,y,"good, except for a few annoying issues.","positives:<br /><br />1.  stylish (at least for us, matches the colors of our decor)<br />2.  easy to wipe down/clean<br />3.  easy to adjust/operate<br />4.  has wheels, so its easy to move<br />5.  feels solid (high quality materials)<br /><br />negatives:<br /><br />1.  straps, although easy to clean, are very bulky and cumbersome. the shoulder straps and waist straps are of the same piece, with no way to remove the shoulder straps as your baby gets older. our son seemed to find them uncomfortable.<br />2.  crotch bar (the blue piece that helps keep kids from slipping under the tray) is wasy to big/bulky.  our son is 21 months old, and 30 lbs. and won't be able to use this chair much longer due to limited space.  **this piece is not removable or adjustable.<br />3.  unstable when folded, even with the caster wheels locked, when folded near flat for storage the chair wants to tip over.  it must be leaned against a wall, or tucked into a corner/closet if you want to fold it up.  we just keep ours setup because we have the space.<br /><br />it it had not been for the annoying straps, and bulky crotch bar (other high chairs have a crotch strap that attaches to the waist straps (like most strollers), and would be easier to adjust, i would have given this chair 4-5 stars.  the shoulder straps were such a pain, that i ended up taking off all of the straps (since the shoulder straps are molded with the left/right waist straps, it is one piece and can not be removed unless you cut them off.) and attaching/rigging a more conventional waist strap when our son was older.  the chair has proven to be very sturdy, and easy to clean.  it has several height and sitting angle adjustments, but we have never used any other than the tallest height/most vertical sitting position.",7/8/2014
us,23220396,rhsejz7pchtz7,b00h5gw8lg,6744486,niceeshop(tm) handmade toddler baby owls crochet knit woolly cap earflap hat,baby,4,0,0,n,y,the owl hat was made just like photo showed,the owl hat was made just like photo showed.  it is cute and i know i will use it as a photo prop.  thanks,12/6/2014
us,2025872,r34ofv6wrmtpkk,b00ckwcur2,6784496,dibs on bibs soccer ball baby bib,baby,5,1,1,n,n,super bib,i have used several bibs on my son. however dibs on bibs is number one. its huge and the food/drink does not leak through bib. its number one in my book. thanks!!,11/13/2013
us,19361708,r2l8r9f9vkppc6,b00ahpzzeo,7090204,"chicco vinyl polly high chair, element (discontinued by manufacturer)",baby,5,1,2,n,y,happy i waited,"i was going to purchase the rattania but when i saw that this was coming out, i decided to wait.  i'm so glad i did.  it looks great and is very easy to clean.  my little one is also very comfortable in it. great purchase!",4/14/2013
us,42292110,r2ugpbaqfm2wma,b004i2qa0u,7291342,"extra large 40x30 absorbent hooded towel, solid yellow with swirl print, frenchie mini couture",baby,5,0,0,n,y,thick and soft towel!,"this was a great purchase- it's thick and soft, not flimsy at all (not sure why some reviewers would qualify it as thin!) and it's big enough so that my just-turned-one-year-old will be able to use it for the next couple years even as she grows! it's a great soft yellow with a cool print on the binding and inside the hood. love it!",3/24/2014
